原文,訳文
Angelic Guide,（アアシマールの）守護天使
Ending,（アドベンチャーの）終盤
Beginning,（アドベンチャーの）序盤
Middle,（アドベンチャーの）中盤
Tadpole,（イリシッドの）幼生
Grand Design,（イリシッド帝国再興の）大構想
City Watch,（ウォーターディープの）都市警備隊
the exchequers,（ウォーターディープ市の）財務局
detail(s),（エリアの）詳細
Resting Pool,（エルダー・ブレインの）安息池
High Mage,（エルフの）上位魔道士
adult name,（エルフの）成人名
child name,（エルフの）幼名
Beniago Kurth,（カース党の）ベニアゴ・カース
branch,（カニス氏族の）分家
monk,（キャンドルキープの）修道僧
Lady Ofejjaia (of Korth),（コースの）オフェジャイア卿
Dagmaer Suljack,（サルジャク党の）ダグメア・サルジャク
(blind beyond this radius),（それより先は見えない）
roll,（ダイス）ロール
goal,（ダンジョンに入る）目的
Trick,（ダンジョンの）しかけ
feature,（ダンジョン内の）特徴
Purpose,（ダンジョン内のエリアの）用途
Throa Taerl,（テアル党の）スロウ・テアル
demotion,（デヴィルの）降格
promotion,（デヴィルの）昇格
elevation,（デーモンの）昇進
Contact,（テレパシーによる）接触
heir,（ドラゴンマーク）氏族員
protectorate,（トリトンの）守護領
sect,（ドルイドの）宗派
warlord,（ドロアームの）軍閥将軍
war band,（ノールの）戦闘集団
Assignment,（パトロンからの）依頼
Barri Baram,（バラム党の）バリー・バラム
the Watch,（バルダーズ・ゲートの）衛兵（隊）
Hives,（ビホルダーの）群れ
home,（フィルボルグの）郷土
manifest,（マークが）発現する
Augmentation,（マインド・フレイヤーの）強化改造装備
Renegade,（マインド・フレイヤーのコロニーからの）はぐれ者
Rogue,（マインド・フレイヤーのコロニーからの）はぐれ者
monastic order,（モンクの）門派
Hartouchen Rethnor,（レスナー党の）ハータッチェン・レスナー
reset,（レバーなどが）元の位置に戻る
Balance,（宇宙の）均衡
perceptible region,（外方次元界の）知覚可能な領域
Budget,（経験点）予算
remote,（次元界同士の）隔絶
coterminous,（次元界同士の）隣接
self only,（自身のみ）
fail,（呪文が）失敗（する）
school,（呪文の）系統
component,（呪文の）構成要素
duration,（呪文の）持続時間
range,（呪文の）射程
cast,（呪文の）発動
casting time,（呪文の）発動時間
cast at a higher level,（呪文を）“高レベル版”で発動する
cancel,（呪文を）打ち消す
Mishap,（乗り物の）マシントラブル
drive,（乗り物の）操縦
driver,（乗り物の）操縦者
station,（乗り物内の）ポスト
act independently,（乗騎が）独立行動する
dismount,（乗騎から）降りる/降ろされる
mount,（乗騎に）乗る
control,（乗騎の）制御
domain,（神などの）領界
Province,（神格の）司るもの
Layer,（地獄の）階層
Lord,（地獄の）君主
duke,（地獄の）公爵
duchess,（地獄の）女公爵
Archduchess,（地獄の）女大公爵
Archduke,（地獄の）大公爵
deed,（土地の）譲渡証書
configration,（部屋や通路の）形状
malfunction,（魔法のルーンの）機能不全
Lady Brandath,（訳し潰した）
trigger,（罠の）作動条件
bludgeoning,殴打
fire,火
radiant,光輝
acid,酸
slashing,斬撃
piercing,刺突
necrotic,死霊
psychic,精神
lightning,電撃
poison,毒
thunder,雷鳴
force,力場
cold,冷気
Known For Its …,～～で知られている
THINGS TO DO IN …,～ですべきこと
... Adventures,～での冒険
immune to...,～に完全耐性を有する
... NPCs,～のNPC
... Campaign Themes,～のキャンペーン・テーマ
Roleplaying a ...,～のロールプレイ
... Villains,～の悪党ども
Locations...,～の各箇所
Madness of ...,～の狂気
... Operations,～の商売
...Missions,～の任務
Destroying ...,～の破壊法
... Adventure Hooks,～の冒険の導入
Sample ...,～の例
Trinkets from ...,～産の珍品奇品
supply/supplies,～用品
Chosen,“（神に）選ばれし者”
tsukai,“～使い”
Kingdom of Two Sun,“2つの太陽の王国”
the Art,“アート”
Sons of Alagondar,“アラゴンダーの息子たち”
Umberlee's Cache,“アンバーリーの隠し場”
Caldra Cuttlefingers,“イカ指”カルドラ
Nebelun the Meddler,“いじくり屋の”ネベラン
Kelim the Weasel,“いたちの”ケリム
Whitkeep Whistler,“ウィットキープの笛吹き”
Emerald Door,“エメラルドの扉”
Elfsong Tavern,“エルフの歌”亭
Ityak-Ortheel the Elf-Eater,“エルフを喰らう者”イチャク＝オーシール
"(the principle of) ""elven excellence""",“エルフ優越主義”
Kisses of Auril,“オーリルの接吻”
the Rage of Karagos,“カラゴスの激怒”
Glasstaff,“ガラス杖”
City of Caravan,“キャラバンの都”
friends of Candlekeep,“キャンドルキープの友”
River Shining Tavern,“きらめき川”亭
Garl Glittergold,“きらめく黄金の”ガール
Guild,“ギルド”
Rotten Ethel,“くされの”エセル
City of Shade,“シェイドの都”
Sage of Shadowdale,“シャドウデイルの賢者”
Silverymoon Ford,“シルヴァリームーンの渡し”
Sly One,“ずる賢きもの”
the Hulks of Zoretha,“ゾレサの巨像群”
Danthelon's Dancing Axe,“ダンセロンの踊る斧”屋
Grandmother Titchwillow,“チビヤナギ婆”
Lizard's Gizzard,“トカゲの胃袋”亭
the Way of the Dragon,“ドラゴンの道”
Memnor the Trickster,“トリックスター”ことメムノール
Gateway to Droaam,“ドロアームへの玄関口”
Helm Dwarf-Friend,“ドワーフの友”ヘルム
Those Who Harp,“ハープを奏でる者たち”
Pipe and Hearthstone,“パイプと炉辺”亭
Thaeven the Bald,“はげ頭の”セイヴン
Blushing Mermaid,“はにかむ人魚”亭
Haask the Voice of Hargut,“ハルガットの声”ハアスク
Meet Me in Phandalin,“ファンダリンで会おう”
Felzoun's Folly,“フェルズーンの愚挙”亭
Blackstaff,“ブラックスタッフ”
"Khelben ""Blackstaff"" Arunsun",“ブラックスタッフ”ケルベン・エアランサン
Nanna Shug,“ぶらんこの”ナンナ
Brondar's Way,“ブロンダーの道”
Rishaal the Page-Turner,“ページめくりの”リシャール
Bosco's Bilge,“ボスコの船底”亭
Companions of the Hall,“ミスラル・ホールの仲間たち”
Red Rage of Mintarn,“ミンターンの赤き怒り”
Sow's Foot,“メス豚の足”地区
Hall of Moradin's Forge,“モラディンの鍛冶場”
Shields of Yartar,“ヤーターの盾
Honest Faces,“よくできた顔”屋
Rune Gate,“ルーン門”
Sheyanna Flaxenstrand,“亜麻縄の”セヤンナ
dirge singer,“哀歌の歌い手”
dirgekeeper,“哀歌を継ぐ者”
Diabolical Court,“悪魔法廷”
Aggorax Darksworn,“暗き誓いの”アゴラクス
Gelf Darkhearth,“暗き炉の”ゲルフ
darkness,“暗闇”
Dark Powers,“暗黒の諸力”
Assassin,“暗殺者”
Year of the Dark Mask,“闇の仮面の年”
Dark Disaster,“闇の災害”
Kelson Darktreader,“闇歩きの”ケルソン
Eyecatcher,“伊達男”号
Great Druid Oalian,“偉大なるドルイド”オアリアン
“Feather” Fallester,“羽の”フォーレスター
Baravar Cloakshadow,“影に身を覆いし者”ベアラヴァール
Port of Shadow,“影の港”
"Irian, the Eternal Dawn",“永遠の昼日”イリアン
"Mabar, the Endless Night",“永遠の夜”マバール
"Fernia, the Sea of Fire",“炎の海”フェルニア
Sune Firehair,“炎の髪もつ”スーニー
Flamebearer Mazin Tana,“炎をもたらす者”メイジン・ターナ
Old Dirty Dwarf,“汚れた老いぼれドワーフ”亭
Golden Doom,“黄金の死滅”号
"Lamannia, the Twilight Forest",“黄昏の森”ラマニア
Aristul the Yellow,“黄色の”アリストル
Downshadow,“下影”
Sumara “Summer” Korranor,“夏の”サマラ・コラノール
Disciples of St. Morgan the Taciturn,“寡黙なる”聖モーガン修道会
Hand that Sings,“歌う手”
Freighter's Finger,“荷役夫の指”桟橋
cloister,“回廊”
The Broken Mirror,“壊れた鏡”亭
Ragnorra the Mother of Monsters,“怪物の母”ラグノラ
Pirate Isles,“海賊諸島”
Hargut of the Gray Pestilence,“灰色の悪疫”ハルガット
Gray Waste,“灰色の荒野”
The Enlightened Havakhad,“開悟者”ハヴァクハッド
Happy Cow,“楽しき牝牛”亭
Lady of Joy,“楽しさの女王”
Callarduran Smoothhands,“滑らかなる手の”カラデュラン
Helm and Cloak,“兜と外套”亭
The Cold Lands,“寒冷地方”
"Daanvi, the Perfect Order",“完全なる秩序”ダーンヴィ
"Dezri ""Guts"" Lamouer",“肝っ玉”デズリ・ラムーア
Sisters of St. Jasper of the Rocks,“巌（いわお）の”聖ジャスパー女子修道会
The Magic of Ki,“気”という魔法
Ki-Empowered Strike,“気”打撃
Memory Spire,“記念尖塔”
Dugmaren Brightmantle,“輝くマント”ダグマレン
Haela Brightaxe,“輝く斧”ヘーラ
the Ride,“騎行”
Giants' Respite,“巨人の憩い”亭
Fishbone Jim,“魚の骨の”ジム
Offering Fields,“供物の野”
Adaka Fell Hand,“凶手の”アダカ
Thongalar the Mighty,“強き”ソンガラー
Yorn the Terror,“恐怖の”ヨルン
Dread Legion Patrol,“恐怖の軍団”の巡回
Mad Kalita,“狂える”カリタ
Lum the Mad,“狂える”ラム
"Xoriat, the Realm of Madness",“狂気の領域”ゾリアット
Gray Watcher of the Morning,“暁の灰色監視山
Dawn War Deities,“暁の戦”の諸神格
Anvil,“金床”
Trobriand the Metal Mage,“金属魔道士”トロブリアンド
Gilded Horseshoe,“金箔蹄鉄”亭
Silver Flood Inn,“銀の流れ”亭
Dhosun Silverscale,“銀鱗の”ドサン
Clangeddin Silverbeard,“銀鬚”クランゲディン
the Nine,“九”
Nine-Fingers Keene,“九本指”のキーネ
Court of Air,“空の庭”
Skewered Dragon,“串刺しドラゴン”亭
"Merrshaulk, Master of the Pit",“穴の王”マーショールク
Piscaethces the Blood Queen,“血の女王”ピスカエトケス
The Bloody Mug,“血まみれのジョッキ”亭
Callain of the Bloody Word,“血まみれの言葉”カレイン
